Object_ID,Object_Name,Alternative_Name,Category,Object_Type,Subcategory,RA,Dec,Distance_AU,Distance_km,Distance_ly,Apparent_Magnitude,Angular_Size,Radius_km,Diameter_km,Mass_kg,Gravity_m_s2,Escape_Velocity_km_s,Rotation_Period_hours,Orbital_Period_days,Temperature_C,Number_of_Moons,Spectral_Type,Visibility,Equipment,Observation_Difficulty,Best_Observation_Month,Student_Description,Fun_Fact,Teacher_Notes,Sanskrit_Name,IKS_Reference,Related_Nakshatra,Ancient_Text,Image_URL,Thumbnail_URL,Reference_Link,Source
SS01,Sun,Sol,Solar System,Star,G-Type Main Sequence,Calculated at runtime,Calculated at runtime,0.0,0.0,0.0,-26.74,31.5'-32.5',696340.0,1392680.0,1.989e+30,274.0,615.0,609.12,,5505,0,G2V,Daytime,Solar Filter,Easy,All Year,The star at the center of our Solar System. It provides the light and heat that makes life on Earth possible.,The Sun accounts for 99.86% of the mass in the entire Solar System.,"Emphasize that the Sun is a very typical, middle-aged yellow dwarf star. Warn strictly about eye safety.",Surya,"Navagraha; represents the soul, king, and vitality.",Krittika / Uttara Phalguni,Surya Siddhanta,,,https://solarsystem.nasa.gov/solar-system/sun/in-depth/,NASA Solar System Exploration
SS02,Mercury,Hermes,Solar System,Planet,Terrestrial Planet,Calculated at runtime,Calculated at runtime,0.39,57900000.0,6.1e-06,-2.48 to 7.25,"4.5""-13""",2439.7,4879.4,3.3e+23,3.7,4.25,1406.4,88.0,-173 to 427,0,,Naked Eye,,Hard,Dependent on Elongation,"The smallest and fastest planet, zipping around the Sun in just 88 days. It has a heavily cratered surface.","Despite being closest to the Sun, Mercury is not the hottest planet—that title goes to Venus.",Best viewed during greatest elongation. Good opportunity to discuss planetary orbits and lack of atmosphere.,Budha,Navagraha; associated with intellect and communication.,Ashlesha / Jyeshtha / Revati,Brihat Parashara Hora Shastra,,,https://solarsystem.nasa.gov/planets/mercury/in-depth/,NASA Planetary Fact Sheet
SS03,Venus,Aphrodite,Solar System,Planet,Terrestrial Planet,Calculated at runtime,Calculated at runtime,0.72,108000000.0,1.14e-05,-4.92 to -2.98,"9.7""-66""",6051.8,12103.6,4.86e+24,8.87,10.36,5832.5,225.0,464,0,,Naked Eye,,Easy,Dependent on Elongation,"The brightest planet in our night sky. It is covered in thick, toxic clouds that trap heat.",A day on Venus is longer than a year on Venus. It also rotates backwards compared to most planets.,Great for discussing the greenhouse effect. Explain its phases similar to the Moon.,Shukra,"Navagraha; associated with beauty, wealth, and arts.",Bharani / Purva Phalguni,Surya Siddhanta,,,https://solarsystem.nasa.gov/planets/venus/in-depth/,NASA Planetary Fact Sheet
SS04,Earth,Terra / Gaia,Solar System,Planet,Terrestrial Planet,,,1.0,149000000.0,1.58e-05,,,6371.0,12742.0,5.97e+24,9.8,11.19,23.9,365.25,15,1,,,,,,"Our home planet, uniquely equipped to support a vast diversity of life with its liquid water and breathable atmosphere.",Earth is the only planet not named after a Greek or Roman god.,"Use as a baseline for comparing distances, sizes, and atmospheric conditions of other planets.",Bhumi / Prithvi,Mother Goddess; represents stability and sustenance.,,Atharva Veda (Bhumi Sukta),,,https://solarsystem.nasa.gov/planets/earth/in-depth/,NASA Planetary Fact Sheet
SS05,Moon,Luna,Solar System,Satellite,Terrestrial Satellite,Calculated at runtime,Calculated at runtime,0.0025,384400.0,4.06e-08,-12.74,29.3'-34.1',1737.4,3474.8,7.34e+22,1.62,2.38,655.7,27.3,-173 to 117,0,,Naked Eye,,Easy,All Year (Except New Moon),Earth's only natural satellite. Its gravitational pull causes the tides in our oceans.,The Moon is moving away from Earth at a rate of about 3.8 centimeters per year.,Discuss synchronous rotation (why we only see one side) and the mechanics of lunar phases.,Chandra,Navagraha; represents the mind and emotions.,Rohini / Hasta / Shravana,Surya Siddhanta,,,https://solarsystem.nasa.gov/moons/earths-moon/in-depth/,NASA / IAU
SS06,Mars,Ares,Solar System,Planet,Terrestrial Planet,Calculated at runtime,Calculated at runtime,1.52,227000000.0,2.4e-05,-2.94 to 1.86,"3.5""-25.1""",3389.5,6779.0,6.41e+23,3.71,5.03,24.6,687.0,-63,2,,Naked Eye,,Moderate,Biennial Opposition,"The Red Planet, named for its rusty color. It has polar ice caps and the largest volcano in the Solar System.","Mars has a volcano, Olympus Mons, that is three times taller than Mount Everest.",Good target for discussing current space exploration and the search for past microbial life.,Mangala,"Navagraha; associated with courage, strength, and war.",Mrigashira / Chitra,Brihat Parashara Hora Shastra,,,https://solarsystem.nasa.gov/planets/mars/in-depth/,NASA Planetary Fact Sheet
SS07,Jupiter,Jove,Solar System,Planet,Gas Giant,Calculated at runtime,Calculated at runtime,5.2,778000000.0,8.2e-05,-2.94 to -1.66,"29.8""-50.1""",69911.0,139822.0,1.89e+27,24.79,59.5,9.9,4333.0,-108,95,,Naked Eye,Binoculars,Easy,Annual Opposition,"The largest planet in our Solar System. It is a gas giant known for its Great Red Spot, a massive storm.","More than 1,300 Earths could fit inside Jupiter.",Even small telescopes reveal its four Galilean moons and cloud bands.,Brihaspati,"Navagraha; Guru of the Devas, associated with wisdom.",Punarvasu / Vishakha,Surya Siddhanta,,,https://solarsystem.nasa.gov/planets/jupiter/in-depth/,NASA Planetary Fact Sheet
SS08,Saturn,Cronus,Solar System,Planet,Gas Giant,Calculated at runtime,Calculated at runtime,9.58,1430000000.0,0.00015,-0.55 to 1.17,"14.5""-20.1""",58232.0,116464.0,5.68e+26,10.44,35.5,10.7,10759.0,-139,146,,Naked Eye,Telescope,Easy,Annual Opposition,A gas giant famous for its spectacular and complex ring system made of ice and rock.,"Saturn's density is so low that if you could find a bathtub big enough, the planet would float.","The rings are the primary visual draw. Explain that rings are common to all gas giants, but Saturn's are the most visible.",Shani,"Navagraha; associated with discipline, karma, and longevity.",Pushya / Anuradha,Brihat Parashara Hora Shastra,,,https://solarsystem.nasa.gov/planets/saturn/in-depth/,NASA Planetary Fact Sheet
SS09,Uranus,Caelus,Solar System,Planet,Ice Giant,Calculated at runtime,Calculated at runtime,19.22,2870000000.0,0.0003,5.38 to 6.03,"3.3""-4.1""",25362.0,50724.0,8.68e+25,8.69,21.3,17.2,30687.0,-197,28,,Binoculars,Telescope,Hard,Annual Opposition,"An ice giant that rolls on its side as it orbits the Sun, likely due to a massive collision in its past.",Uranus was the first planet discovered using a telescope (by William Herschel in 1781).,Appears as a tiny blue-green disk. Great for discussing axial tilt and extreme seasons.,Aruna,Not traditionally part of the Navagraha.,,,,,https://solarsystem.nasa.gov/planets/uranus/in-depth/,NASA Planetary Fact Sheet
SS10,Neptune,Poseidon,Solar System,Planet,Ice Giant,Calculated at runtime,Calculated at runtime,30.05,4490000000.0,0.00047,7.67 to 8.00,"2.2""-2.4""",24622.0,49244.0,1.02e+26,11.15,23.5,16.1,60190.0,-201,16,,Telescope,Telescope,Hard,Annual Opposition,"The most distant major planet, known for its deep blue color and supersonic winds.",Neptune was mathematically predicted before it was directly observed through a telescope.,Requires a good telescope to spot. Discuss the role of mathematics in astronomy.,Varuna,Deity of the cosmic oceans; not in Navagraha.,,Rig Veda (Contextual),,,https://solarsystem.nasa.gov/planets/neptune/in-depth/,NASA Planetary Fact Sheet
