Name,Symbol,Deity,Ruling Planet,Modern Star,Constellation,Best Observation,Visibility,Equipment,Description,Image
Ashwini,Horse Head,Ashwini Kumaras,Ketu,Beta Arietis,Aries,October-January,Eastern Sky,Naked Eye,"The first Nakshatra representing beginnings, healing, and speed.","assets/nakshatra/ashwini.jpg"
Bharani,Yoni,Yama,Venus,35 Arietis,Aries,October-January,Eastern Sky,Naked Eye,"Represents transformation, responsibility and the cycle of life.","assets/nakshatra/bharani.jpg"
Krittika,Razor,Agni,Sun,Pleiades (M45),Taurus,November-February,East,Naked Eye/Binoculars,"Associated with the Pleiades star cluster and symbolizes purification.","assets/nakshatra/krittika.jpg"
Rohini,Chariot,Brahma,Moon,Aldebaran,Taurus,November-February,East,Naked Eye,"Associated with growth, fertility and abundance.","assets/nakshatra/rohini.jpg"
Mrigashira,Deer's Head,Soma,Mars,Lambda Orionis,Orion,December-March,East,Naked Eye,"Represents curiosity, exploration and searching.","assets/nakshatra/mrigashira.jpg"
Ardra,Tear,Rudra,Rahu,Betelgeuse,Orion,December-March,East,Naked Eye,"Associated with transformation, storms and renewal.","assets/nakshatra/ardra.jpg"
Punarvasu,Quiver,Aditi,Jupiter,Castor & Pollux,Gemini,January-April,East,Naked Eye,"Represents renewal, optimism and restoration.","assets/nakshatra/punarvasu.jpg"
Pushya,Cow's Udder,Brihaspati,Saturn,Gamma Cancri,Cancer,January-April,East,Naked Eye,"Known for nourishment, learning and prosperity.","assets/nakshatra/pushya.jpg"
Ashlesha,Coiled Serpent,Nagas,Mercury,Delta Hydrae,Hydra,February-April,Southeast,Naked Eye,"Represents wisdom, intuition and mystery.","assets/nakshatra/ashlesha.jpg"
Magha,Throne,Pitrs,Ketu,Regulus,Leo,February-May,East,Naked Eye,"Associated with ancestors, leadership and authority.","assets/nakshatra/magha.jpg"
Purva Phalguni,Hammock,Bhaga,Venus,Delta Leonis,Leo,March-May,East,Naked Eye,"Represents creativity, relationships and enjoyment.","assets/nakshatra/purva_phalguni.jpg"
Uttara Phalguni,Bed,Aryaman,Sun,Denebola,Leo,March-May,East,Naked Eye,"Associated with friendship, agreements and generosity.","assets/nakshatra/uttara_phalguni.jpg"
Hasta,Hand,Savitar,Moon,Corvus Stars,Virgo,April-June,South,Naked Eye,"Represents skill, craftsmanship and intelligence.","assets/nakshatra/hasta.jpg"
Chitra,Pearl,Tvashtar,Mars,Spica,Virgo,April-June,South,Naked Eye,"Associated with beauty, design and architecture.","assets/nakshatra/chitra.jpg"
Swati,Shoot,Vayu,Rahu,Arcturus,Bootes,May-July,South,Naked Eye,"Represents independence, flexibility and learning.","assets/nakshatra/swati.jpg"
Vishakha,Triumphal Arch,Indra & Agni,Jupiter,Alpha Librae,Libra,May-July,South,Naked Eye,"Represents determination and achievement.","assets/nakshatra/vishakha.jpg"
Anuradha,Lotus,Mitra,Saturn,Delta Scorpii,Scorpius,June-August,South,Naked Eye,"Associated with friendship, devotion and cooperation.","assets/nakshatra/anuradha.jpg"
Jyeshtha,Earring,Indra,Mercury,Antares,Scorpius,June-August,South,Naked Eye,"Represents leadership, responsibility and protection.","assets/nakshatra/jyeshtha.jpg"
Mula,Roots,Nirriti,Ketu,Shaula,Scorpius/Sagittarius,July-September,South,Naked Eye,"Associated with roots, transformation and research.","assets/nakshatra/mula.jpg"
Purva Ashadha,Fan,Apah,Venus,Delta Sagittarii,Sagittarius,July-September,South,Naked Eye,"Represents confidence, victory and optimism.","assets/nakshatra/purva_ashadha.jpg"
Uttara Ashadha,Elephant Tusk,Vishvadevas,Sun,Zeta Sagittarii,Sagittarius,August-October,South,Naked Eye,"Associated with leadership and lasting success.","assets/nakshatra/uttara_ashadha.jpg"
Shravana,Ear,Vishnu,Moon,Altair,Aquila,August-October,South,Naked Eye,"Represents listening, learning and knowledge.","assets/nakshatra/shravana.jpg"
Dhanishta,Drum,Vasus,Mars,Delphinus Stars,Delphinus,September-November,West,Naked Eye,"Associated with prosperity, rhythm and community.","assets/nakshatra/dhanishta.jpg"
Shatabhisha,Circle,Varuna,Rahu,Gamma Aquarii,Aquarius,September-November,West,Naked Eye,"Represents healing, research and discovery.","assets/nakshatra/shatabhisha.jpg"
Purva Bhadrapada,Sword,Aja Ekapada,Jupiter,Markab,Pegasus,October-December,West,Naked Eye,"Associated with wisdom, sacrifice and transformation.","assets/nakshatra/purva_bhadrapada.jpg"
Uttara Bhadrapada,Twins,Ahir Budhnya,Saturn,Gamma Pegasi,Pegasus,October-December,West,Naked Eye,"Represents patience, stability and compassion.","assets/nakshatra/uttara_bhadrapada.jpg"
Revati,Fish,Pushan,Mercury,Zeta Piscium,Pisces,October-January,West,Naked Eye,"The final Nakshatra symbolizing prosperity, safe journeys and completion.","assets/nakshatra/revati.jpg"
